Player,Pos,Overall,Instincts,FirstStep,Speed,Hands,Release,ArmStrength,ArmAccuracy,Votes,Agreement,tangoid,Season,Team,PositionSpec,Age,GP,FGName,playerid,FGTeam
"McLouth, Nate",CF,61,65,59,76,65,56,39,63,11,0.58,7513,2008,PIT,64,NA,NA,Nate McLouth,3190,Pirates
P Lo Duca,NA,54,64,38,45,59,65,61,58,4,0.45,NA,2005,FLO,NA,NA,NA,Paul Lo Duca,662,Marlins
"Podsednik, Scott",LF,27,9,42,75,19,17,0,11,35,0.62,6489,2006,CHA,NA,NA,NA,Scott Podsednik,1095,White Sox
"Lane, Jason",RF,53,52,53,53,52,49,56,54,14,0.78,6855,2006,HOU,NA,NA,NA,Jason Lane,1397,Astros
T Tiffee,NA,33,27,37,36,26,27,43,36,11,0.59,NA,2005,MIN,NA,NA,NA,Terry Tiffee,2160,Twins
"LaRue, Jason",NA,45,37,40,45,25,54,70,64,10,0.59,NA,2004,CIN,NA,30,103,Jason LaRue,337,Reds
"Reed, Jeremy",CF,58,58,65,66,65,50,38,47,180,0.72,7284,2006,SEA,NA,NA,NA,Jeremy Reed,4730,Mariners
"Markakis, Nick",RF,72,74,72,70,74,70,74,73,25,0.82,7707,2006,BAL,NA,NA,NA,Nick Markakis,5930,Orioles
D Mirabelli,NA,47,53,30,24,62,55,61,55,76,0.7,NA,2005,BOS,NA,NA,NA,Doug Mirabelli,202,Red Sox
"Burrell, Pat",LF,31,28,9,11,32,41,69,67,32,0.67,6375,2007,PHI,NA,NA,NA,Pat Burrell,949,Phillies
"Spiezio, Scott",1B,NA,56,52,43,72,45,48,39,11,0.75,NA,2003,NA,NA,NA,193,Scott Spiezio,37,Angels
"Sanders, Reggie",RF,NA,59,56,65,54,61,72,66,12,0.6,NA,2003,NA,NA,NA,215,Reggie Sanders,1129,Pirates
"Posada, Jorge",C,50,50,39,22,53,69,67,68,46,0.61,5502,2006,NYA,NA,NA,NA,Jorge Posada,841,Yankees
"Ramirez, Hanley",SS,50,52,62,74,31,26,68,27,10,0.55,7488,2007,FLO,NA,NA,NA,Hanley Ramirez,8001,Marlins
"Greene, Khalil",SS,79,85,80,60,81,91,78,78,26,0.81,7233,2007,SDN,NA,NA,NA,Khalil Greene,1826,Padres
"Perez, Timo",CF,NA,31,42,64,37,35,39,37,13,0.65,NA,2003,NA,NA,NA,121,Timo Perez,891,Mets
"Mirabelli, Doug",C,NA,55,23,20,62,61,73,70,21,0.69,NA,2003,NA,NA,NA,85,Doug Mirabelli,202,Red Sox
"Batista, Tony",3B,20,1,1,9,40,28,37,56,29,0.65,5621,2006,MIN,NA,NA,NA,Tony Batista,124,Twins
"Sanders, Reggie",RF,48,49,45,44,55,47,51,50,14,0.79,4737,2006,KCA,NA,NA,NA,Reggie Sanders,1129,Royals
"Hernandez, Ramon",C,20,17,12,14,25,17,48,20,62,0.63,6258,2008,BAL,24,NA,NA,Ramon Hernandez,918,Orioles
"Pie, Felix",CF,84,83,92,89,76,79,84,81,22,0.79,7704,2007,CHN,NA,NA,NA,Felix Pie,3751,Cubs
"Boggs, Brandon",LF,64,52,65,70,57,70,72,76,13,0.8,8234,2008,TEX,64,NA,NA,Brandon Boggs,8021,Rangers
J Michaels,NA,42,37,46,48,39,41,41,35,9,0.76,NA,2005,PHI,NA,NA,NA,Jason Michaels,1399,Phillies
"Cruz, Nelson",RF,51,37,57,57,36,34,92,58,10,0.61,7681,2007,TEX,NA,NA,NA,Nelson Cruz,2434,Rangers
"Castilla, Vinny",3B,54,54,46,16,71,71,60,73,10,0.51,4746,2006,SDN,NA,NA,NA,Vinny Castilla,84,- - -
"Guzman, Cristian",SS,52,52,50,54,49,56,45,60,26,0.65,6186,2008,WAS,52,NA,NA,Cristian Guzman,728,Nationals
"Cameron, Mike",CF,NA,89,91,87,77,72,63,61,19,0.79,NA,2003,NA,NA,NA,307,Mike Cameron,1070,Mariners
"Chavez, Endy",LF,84,88,88,86,89,78,71,81,32,0.85,6733,2007,NYN,NA,NA,NA,Endy Chavez,768,Mets
"LaRoche, Adam",NA,60,69,47,41,83,63,54,60,13,0.75,NA,2004,ATL,NA,25,80,Adam LaRoche,1904,Braves
"Crawford, Carl",LF,64,58,84,90,63,51,32,39,60,0.73,6870,2008,TBA,73,NA,NA,Carl Crawford,1201,Rays
"Pascucci, Val",NA,11,0,6,18,1,4,42,25,3,0.5,NA,2004,MON,NA,26,15,Val Pascucci,1915,Expos
"Molina, Yadier",C,67,83,35,18,82,95,92,99,68,0.76,7345,2008,SLN,84,NA,NA,Yadier Molina,7007,Cardinals
J Francoeur,NA,81,78,83,76,70,88,91,84,19,0.78,NA,2005,ATL,NA,NA,NA,Jeff Francoeur,4792,Braves
"Martinez, Victor",C,25,46,18,14,53,0,18,7,25,0.67,6853,2006,CLE,NA,NA,NA,Victor Martinez,393,Indians
"Renteria, Edgar",SS,NA,54,60,73,64,67,70,63,8,0.67,NA,2003,NA,NA,NA,294,Edgar Renteria,1178,Cardinals
"Smith, Jason",NA,30,30,36,34,30,20,22,32,4,0.86,NA,2004,DET,NA,27,41,Jason Smith,1227,Tigers
"Lane, Jason",CF,55,52,55,55,53,52,58,62,17,0.72,6855,2007,HOU,NA,NA,NA,Jason Lane,1397,- - -
"Podsednik, Scott",LF,32,19,64,75,12,14,0,12,12,0.62,6489,2007,CHA,NA,NA,NA,Scott Podsednik,1095,White Sox
"Hunter, Torii",CF,75,81,73,68,82,72,74,72,43,0.65,5884,2006,MIN,NA,NA,NA,Torii Hunter,731,Twins
"Hundley, Nick",C,55,50,52,45,45,70,73,62,30,0.69,8294,2008,SDN,59,NA,NA,Nick Hundley,3376,Padres
J Phillips,NA,12,19,10,10,26,0,6,0,36,0.72,NA,2005,LAN,NA,NA,NA,Jason Phillips,892,Dodgers
"Girardi, Joe",C,NA,39,58,39,45,57,35,43,9,0.24,NA,2003,NA,NA,NA,74,Joe Girardi,280,Cardinals
"Melhuse, Adam",NA,35,32,32,23,43,39,42,37,9,0.69,NA,2004,OAK,NA,32,57,Adam Melhuse,294,Athletics
"Markakis, Nick",RF,77,78,73,68,82,80,84,82,57,0.83,7707,2007,BAL,NA,NA,NA,Nick Markakis,5930,Orioles
"LaRue, Jason",C,40,39,26,25,48,51,54,54,37,0.74,6252,2008,SLN,47,NA,NA,Jason LaRue,337,Cardinals
J Jones,NA,57,50,75,70,64,31,66,16,26,0.58,NA,2005,MIN,NA,NA,NA,Jacque Jones,735,Twins
"Bowen, Rob",C,49,34,48,50,55,48,61,54,3,0.82,7215,2006,SDN,NA,NA,NA,Rob Bowen,1817,Padres
"Fordyce, Brook",NA,32,33,19,16,37,47,32,45,5,0.71,NA,2004,TBA,NA,34,45,Brook Fordyce,138,Devil Rays
"Guillen, Jose",NA,55,38,40,55,41,64,93,84,15,0.65,NA,2004,ANA,NA,28,131,Jose Guillen,57,Angels
J Ellison,NA,56,44,64,83,36,49,64,49,14,0.6,NA,2005,SFN,NA,NA,NA,Jason Ellison,1704,Giants
"Sanders, Reggie",RF,47,57,40,49,46,43,41,59,12,0.76,4737,2007,KCA,NA,NA,NA,Reggie Sanders,1129,Royals
"Eckstein, David",SS,36,43,44,46,37,38,0,29,34,0.68,6688,2008,TOR,37,NA,NA,David Eckstein,10,- - -
"Willingham, Josh",LF,43,43,34,35,43,43,57,59,19,0.64,7373,2008,FLO,39,NA,NA,Josh Willingham,2103,Marlins
"Greene, Todd",NA,26,17,12,18,51,32,50,10,2,0.85,NA,2004,COL,NA,33,47,Todd Greene,1450,Rockies
"Hatteberg, Scott",1B,NA,44,36,28,46,29,15,19,23,0.68,NA,2003,NA,NA,NA,196,Scott Hatteberg,916,Athletics
"Freeman, Choo",CF,43,21,65,83,36,23,36,20,10,0.83,7052,2006,COL,NA,NA,NA,Choo Freeman,1872,Rockies
"Snyder, Chris",NA,51,50,49,34,51,62,55,62,4,0.74,NA,2004,ARI,NA,23,27,Chris Snyder,4606,Diamondbacks
"Rodriguez, Luis",3B,56,55,62,56,57,56,47,51,22,0.83,7550,2006,MIN,NA,NA,NA,Luis Rodriguez,2364,Twins
"Rolen, Scott",3B,NA,90,75,50,87,88,91,91,10,0.79,NA,2003,NA,NA,NA,303,Scott Rolen,970,Cardinals
J Hernandez,NA,45,43,47,46,39,49,50,48,16,0.74,NA,2005,CLE,NA,NA,NA,Jose Hernandez,688,Indians
"Saltalamacchia, Jarrod",C,52,57,43,38,54,55,69,63,24,0.67,7939,2007,TEX,NA,NA,NA,Jarrod Saltalamacchia,5557,- - -
"Conti, Jason",NA,41,23,61,65,37,34,29,32,4,0.6,NA,2004,TEX,NA,29,15,Jason Conti,1199,Rangers
"Cameron, Mike",NA,68,83,84,74,62,57,52,47,24,0.78,NA,2004,NYN,NA,31,132,Mike Cameron,1070,Mets
J Smith,NA,34,29,38,48,22,38,38,24,12,0.77,NA,2005,DET,NA,NA,NA,Jason Smith,1227,Tigers
"Ledee, Ricky",CF,NA,43,53,57,34,39,52,47,9,0.78,NA,2003,NA,NA,NA,61,Ricky Ledee,1407,Phillies
"Velez, Eugenio",2B,38,11,68,88,4,12,48,22,36,0.65,8128,2008,SFN,33,NA,NA,Eugenio Velez,3893,Giants
"Ward, Daryle",LF,NA,9,12,16,1,10,24,26,7,0.73,NA,2003,NA,NA,NA,100,Daryle Ward,579,Dodgers
C Guzman,NA,34,29,41,53,22,34,39,13,25,0.55,NA,2005,MON,NA,NA,NA,Cristian Guzman,728,Nationals
"LaRue, Jason",C,55,61,54,35,36,69,74,72,25,0.63,6252,2006,CIN,NA,NA,NA,Jason LaRue,337,Reds
C Magruder,NA,35,26,44,53,33,34,23,27,19,0.65,NA,2005,MIL,NA,NA,NA,Chris Magruder,392,Brewers
M Cuddyer,NA,42,36,44,46,33,35,79,27,18,0.66,NA,2005,MIN,NA,NA,NA,Michael Cuddyer,1534,Twins
"Markakis, Nick",RF,80,80,71,68,81,91,90,92,78,0.83,7707,2008,BAL,77,NA,NA,Nick Markakis,5930,Orioles
"Marte, Andy",3B,62,67,64,50,59,56,75,59,19,0.59,7291,2006,CLE,NA,NA,NA,Andy Marte,3203,Indians
"Mirabelli, Doug",C,39,43,18,16,61,46,52,50,186,0.66,5692,2007,BOS,NA,NA,NA,Doug Mirabelli,202,Red Sox
"Johnson, Kelly",2B,40,36,43,53,24,38,45,49,24,0.69,7558,2008,ATL,38,NA,NA,Kelly Johnson,2234,Braves
"Ibanez, Raul",LF,26,28,12,20,33,30,32,38,157,0.62,5665,2008,SEA,22,NA,NA,Raul Ibanez,607,Mariners
"Castro, Ramon",C,48,45,35,31,53,61,68,59,11,0.58,6325,2006,NYN,NA,NA,NA,Ramon Castro,514,Mets
"Roberts, Brian",2B,72,74,79,79,71,73,48,72,72,0.77,6741,2008,BAL,73,NA,NA,Brian Roberts,166,Orioles
"Rowand, Aaron",CF,60,63,65,63,74,54,37,41,34,0.68,6742,2007,PHI,NA,NA,NA,Aaron Rowand,254,Phillies
"Bowen, Rob",C,50,56,47,49,53,65,36,39,4,0.6,7215,2007,SDN,NA,NA,NA,Rob Bowen,1817,- - -
"Redmond, Mike",C,50,65,38,28,63,67,39,53,11,0.77,6008,2008,MIN,55,NA,NA,Mike Redmond,538,Twins
J Kent,NA,59,71,49,37,58,70,60,77,41,0.74,NA,2005,LAN,NA,NA,NA,Jeff Kent,1119,Dodgers
"Martinez, Tino",NA,54,60,40,32,73,64,42,69,5,0.67,NA,2004,TBA,NA,37,107,Tino Martinez,1168,Devil Rays
"Hill, Bobby",NA,45,43,49,42,46,41,42,54,2,0.77,NA,2004,PIT,NA,26,46,Bobby Hill,283,Pirates
"Jones, Adam",CF,75,77,86,86,74,59,75,50,69,0.77,7812,2008,BAL,79,NA,NA,Adam Jones,6368,Orioles
"Polanco, Placido",2B,70,76,66,53,82,77,54,79,57,0.8,6049,2006,DET,NA,NA,NA,Placido Polanco,1176,Tigers
"Lockhart, Keith",2B,NA,37,38,32,43,45,24,49,10,0.49,NA,2003,NA,NA,NA,89,Keith Lockhart,1380,Padres
"Mauer, Joe",NA,73,75,62,50,81,80,84,87,12,0.84,NA,2004,MIN,NA,21,29,Joe Mauer,1857,Twins
C Crisp,NA,52,47,75,80,51,41,14,27,24,0.62,NA,2005,CLE,NA,NA,NA,Coco Crisp,1572,Indians
"Rollins, Jimmy",SS,84,79,86,84,82,89,77,90,34,0.86,6419,2007,PHI,NA,NA,NA,Jimmy Rollins,971,Phillies
"Lugo, Julio",SS,63,61,71,78,55,56,61,49,12,0.81,6451,2006,TBA,NA,NA,NA,Julio Lugo,565,- - -
"Gerut, Jody",NA,68,72,70,65,77,58,62,69,16,0.8,NA,2004,CLE,NA,27,124,Jody Gerut,1696,Indians
"Rivera, Juan",LF,NA,47,52,50,48,52,58,51,23,0.75,NA,2003,NA,NA,NA,42,Juan Rivera,843,Yankees
"Floyd, Cliff",RF,25,24,23,20,26,26,33,31,19,0.69,5177,2007,CHN,NA,NA,NA,Cliff Floyd,518,Cubs
"Castro, Juan",NA,70,72,64,52,85,82,63,74,16,0.7,NA,2004,CIN,NA,32,73,Juan Castro,315,Reds
"Garciaparra, Nomar",SS,NA,73,76,69,53,59,90,50,48,0.7,NA,2003,NA,NA,NA,317,Nomar Garciaparra,190,Red Sox
"Andino, Robert",2B,61,57,71,71,54,59,56,55,15,0.72,7648,2008,FLO,61,NA,NA,Robert Andino,4900,Marlins
S Hillenbrand,NA,43,48,41,37,41,44,44,47,55,0.73,NA,2005,TOR,NA,NA,NA,Shea Hillenbrand,196,Blue Jays
C Snyder,NA,54,59,47,38,68,59,58,52,28,0.59,NA,2005,ARI,NA,NA,NA,Chris Snyder,4606,Diamondbacks
"LaRoche, Adam",1B,47,46,31,18,65,60,64,61,17,0.54,7253,2006,ATL,NA,NA,NA,Adam LaRoche,1904,Braves
"Podsednik, Scott",NA,44,31,53,83,35,36,22,39,11,0.46,NA,2004,MIL,NA,28,151,Scott Podsednik,1095,Brewers
"Edmonds, Jim",CF,NA,82,70,54,72,77,72,91,10,0.77,NA,2003,NA,NA,NA,267,Jim Edmonds,1153,Cardinals
"Giambi, Jeremy",LF,NA,0,7,17,0,4,6,0,19,0.79,NA,2003,NA,NA,NA,47,Jeremy Giambi,913,Red Sox
A Beltre,NA,67,71,60,49,71,72,82,78,38,0.74,NA,2005,SEA,NA,NA,NA,Adrian Beltre,639,Mariners
"McLemore, Mark",NA,34,33,29,27,29,46,32,47,16,0.59,NA,2004,OAK,NA,40,64,Mark McLemore,1088,Athletics
"Fielder, Prince",1B,37,49,23,31,43,44,41,33,18,0.61,7290,2007,MIL,NA,NA,NA,Prince Fielder,4613,Brewers
"Piatt, Adam",LF,NA,24,40,40,30,33,43,23,6,0.82,NA,2003,NA,NA,NA,50,Adam Piatt,935,- - -
J Lopez,NA,45,49,44,40,43,48,47,43,41,0.64,NA,2005,BAL,NA,NA,NA,Javy Lopez,103,Orioles
"Floyd, Cliff",LF,NA,40,30,45,39,43,45,51,12,0.73,NA,2003,NA,NA,NA,150,Cliff Floyd,518,Mets
"Roberts, Dave",CF,47,35,71,80,34,41,18,30,30,0.74,6305,2007,SFN,NA,NA,NA,Dave Roberts,670,Giants
J Burnitz,NA,49,53,42,43,52,50,61,45,26,0.73,NA,2005,CHN,NA,NA,NA,Jeromy Burnitz,867,Cubs
T Long,NA,47,50,55,55,32,48,41,47,8,0.63,NA,2005,KCA,NA,NA,NA,Terrence Long,927,Royals
"Melhuse, Adam",C,34,36,27,27,32,41,45,44,22,0.69,6482,2006,OAK,NA,NA,NA,Adam Melhuse,294,Athletics
"Hatteberg, Scott",NA,41,49,39,28,58,43,21,41,26,0.68,NA,2004,OAK,NA,35,142,Scott Hatteberg,916,Athletics
"Matheny, Mike",NA,64,69,53,19,86,90,65,72,10,0.62,NA,2004,SLN,NA,34,109,Mike Matheny,1169,Cardinals
"Lewis, Fred",RF,48,27,64,87,34,34,48,37,15,0.65,7854,2007,SFN,NA,NA,NA,Fred Lewis,4693,Giants
"Willingham, Josh",LF,43,45,37,37,39,47,50,57,9,0.71,7373,2007,FLO,NA,NA,NA,Josh Willingham,2103,Marlins
"Munson, Eric",C,29,33,24,29,24,32,39,27,10,0.66,6407,2006,HOU,NA,NA,NA,Eric Munson,481,Astros
"Kent, Jeff",2B,33,32,34,24,33,33,37,41,12,0.64,4826,2006,LAN,NA,NA,NA,Jeff Kent,1119,Dodgers
"Johnson, Mark",C,NA,51,48,40,51,55,46,39,7,0.69,NA,2003,NA,NA,NA,88,Mark Johnson,240,Athletics
"Jordan, Brian",LF,NA,49,50,56,52,45,43,30,10,0.64,NA,2003,NA,NA,NA,142,Brian Jordan,658,Dodgers
"Dukes, Elijah",RF,69,64,76,80,56,63,83,62,19,0.74,7916,2008,WAS,71,NA,NA,Elijah Dukes,4946,Nationals
"Kotchman, Casey",1B,60,73,55,36,83,57,50,57,25,0.68,7293,2008,ATL,65,NA,NA,Casey Kotchman,1930,- - -
"Ensberg, Morgan",NA,60,58,66,57,58,57,62,64,18,0.73,NA,2004,HOU,NA,29,102,Morgan Ensberg,556,Astros
"Barrett, Michael",C,27,25,33,35,27,17,25,20,21,0.58,6098,2008,SDN,24,NA,NA,Michael Barrett,762,Padres
"Burrell, Pat",NA,44,33,34,27,43,53,68,74,12,0.72,NA,2004,PHI,NA,28,118,Pat Burrell,949,Phillies
"Rivera, Rene",C,33,32,27,25,35,37,46,35,123,0.63,7458,2006,SEA,NA,NA,NA,Rene Rivera,3648,Mariners
"Byrd, Marlon",RF,59,56,72,70,53,43,63,48,10,0.85,6863,2007,TEX,NA,NA,NA,Marlon Byrd,950,Rangers
J Mauer,NA,79,79,64,59,82,98,91,97,22,0.79,NA,2005,MIN,NA,NA,NA,Joe Mauer,1857,Twins
"Guzman, Cristian",SS,NA,35,57,80,38,39,57,37,14,0.46,NA,2003,NA,NA,NA,262,Cristian Guzman,728,Twins
"Montero, Miguel",C,30,29,37,37,33,21,32,11,25,0.61,7865,2008,ARI,26,NA,NA,Miguel Montero,3364,Diamondbacks
"Johnson, Reed",LF,70,72,76,73,67,61,63,68,54,0.75,7118,2006,TOR,NA,NA,NA,Reed Johnson,1702,Blue Jays
"Greene, Khalil",NA,77,87,76,61,78,88,68,72,9,0.8,NA,2004,SDN,NA,25,132,Khalil Greene,1826,Padres
"Jeter, Derek",SS,53,51,35,56,61,59,64,56,78,0.53,5406,2008,NYA,53,NA,NA,Derek Jeter,826,Yankees
"Kemp, Matt",CF,62,54,65,73,53,61,76,53,9,0.85,7780,2006,LAN,NA,NA,NA,Matt Kemp,5631,Dodgers
M Grudzielanek,NA,65,71,56,54,67,76,70,72,22,0.76,NA,2005,SLN,NA,NA,NA,Mark Grudzielanek,653,Cardinals
"Hopper, Norris",CF,55,48,59,79,56,50,39,39,13,0.52,7841,2007,CIN,NA,NA,NA,Norris Hopper,2450,Reds
"Gomez, Chris",NA,49,49,46,43,51,57,40,53,18,0.76,NA,2004,TOR,NA,33,90,Chris Gomez,1208,Blue Jays
"Sizemore, Grady",CF,68,79,84,80,72,53,27,46,26,0.74,7256,2006,CLE,NA,NA,NA,Grady Sizemore,2197,Indians
"White, Rondell",NA,29,27,39,33,26,24,11,34,5,0.48,NA,2004,DET,NA,32,68,Rondell White,856,Tigers
"Reyes, Rene",NA,5,0,24,7,0,0,0,0,1,0,NA,2004,COL,NA,26,15,Rene Reyes,1774,Rockies
"Clark, Tony",1B,38,48,20,16,63,51,32,39,15,0.64,5513,2006,ARI,NA,NA,NA,Tony Clark,182,Diamondbacks
"Snyder, Chris",C,55,62,34,30,65,69,72,70,18,0.74,7409,2006,ARI,NA,NA,NA,Chris Snyder,4606,Diamondbacks
"Millar, Kevin",1B,23,25,18,17,23,23,31,35,17,0.74,5981,2006,BAL,NA,NA,NA,Kevin Millar,529,Orioles
"Sweeney, Ryan",LF,53,60,64,59,42,40,50,45,5,0.74,7858,2007,CHA,NA,NA,NA,Ryan Sweeney,6352,White Sox
J Paul,NA,42,39,37,47,40,44,44,47,7,0.68,NA,2005,ANA,NA,NA,NA,Josh Paul,251,Angels
"Wilkerson, Brad",LF,NA,60,45,48,54,49,55,61,9,0.86,NA,2003,NA,NA,NA,128,Brad Wilkerson,804,Expos
"Keppinger, Jeff",NA,41,43,36,39,33,41,42,59,5,0.83,NA,2004,NYN,NA,24,29,Jeff Keppinger,3856,Mets
M Ordonez,NA,41,48,33,33,38,45,50,48,26,0.67,NA,2005,DET,NA,NA,NA,Magglio Ordonez,248,Tigers
Y Molina,NA,70,75,53,26,81,97,92,95,21,0.77,NA,2005,SLN,NA,NA,NA,Yadier Molina,7007,Cardinals
"Wilson, Enrique",SS,NA,34,36,43,37,35,35,38,21,0.72,NA,2003,NA,NA,NA,25,Enrique Wilson,858,Yankees
"Phelps, Josh",1B,18,17,20,25,21,9,17,15,13,0.66,6494,2007,NYA,NA,NA,NA,Josh Phelps,1318,- - -
"LaRue, Jason",C,29,29,18,18,34,38,41,36,13,0.57,6252,2007,KCA,NA,NA,NA,Jason LaRue,337,Royals
"Pratt, Todd",C,36,36,17,13,58,48,41,54,4,0.6,4904,2006,ATL,NA,NA,NA,Todd Pratt,968,Braves
"Robinson, Kerry",CF,29,27,48,58,6,17,20,14,5,0.56,6143,2006,KCA,NA,NA,NA,Kerry Robinson,1179,Royals
"Cairo, Miguel",1B,44,46,45,45,47,45,32,44,80,0.63,5586,2008,SEA,45,NA,NA,Miguel Cairo,1412,Mariners
"Maza, Luis",2B,49,45,53,53,47,53,38,52,15,0.74,8244,2008,LAN,49,NA,NA,Luis Maza,2416,Dodgers
"Jacobs, Mike",1B,34,32,35,19,47,32,31,39,6,0.79,7623,2007,FLO,NA,NA,NA,Mike Jacobs,2231,Marlins
"Lopez, Felipe",SS,NA,48,58,62,52,37,70,46,5,0.68,NA,2003,NA,NA,NA,119,Felipe Lopez,1311,Reds
"Infante, Omar",NA,61,54,59,56,56,73,68,65,7,0.79,NA,2004,DET,NA,23,125,Omar Infante,1609,Tigers
"Young, Dmitri",1B,11,15,3,11,22,4,12,15,12,0.7,5699,2008,WAS,12,NA,NA,Dmitri Young,505,Nationals
"Granderson, Curtis",CF,71,76,81,76,78,61,47,55,62,0.73,7455,2006,DET,NA,NA,NA,Curtis Granderson,4747,Tigers
"Sexson, Richie",1B,17,8,10,15,27,18,25,25,96,0.64,5931,2008,SEA,17,NA,NA,Richie Sexson,709,- - -
"Kent, Jeff",2B,39,42,22,20,44,57,48,62,59,0.64,4826,2007,LAN,NA,NA,NA,Jeff Kent,1119,Dodgers
"Young, Michael",SS,66,60,53,60,70,77,83,71,19,0.66,6613,2006,TEX,NA,NA,NA,Michael Young,1286,Rangers
"Franco, Julio",1B,NA,47,28,27,59,52,50,55,11,0.45,NA,2003,NA,NA,NA,95,Julio Franco,87,Braves
"Catalanotto, Frank",1B,29,32,32,31,30,29,15,24,12,0.62,5907,2008,TEX,30,NA,NA,Frank Catalanotto,1241,Rangers
"Johnson, Nick",NA,56,69,49,42,73,58,42,54,5,0.64,NA,2004,MON,NA,26,68,Nick Johnson,828,Expos
"Feliz, Pedro",3B,NA,36,40,42,32,35,67,45,12,0.65,NA,2003,NA,NA,NA,62,Pedro Feliz,1112,Giants
"Thames, Marcus",LF,26,23,26,33,24,22,33,24,58,0.74,6943,2008,DET,27,NA,NA,Marcus Thames,1523,Tigers
T Glaus,NA,37,40,39,28,35,34,51,36,29,0.48,NA,2005,ARI,NA,NA,NA,Troy Glaus,15,Diamondbacks
"Hinske, Eric",RF,45,41,48,55,46,37,45,34,40,0.7,6645,2006,TOR,NA,NA,NA,Eric Hinske,1305,- - -
"Treanor, Matt",C,48,58,38,38,59,47,41,63,4,0.77,7344,2007,FLO,NA,NA,NA,Matt Treanor,2265,Marlins
"Cruz, Jose",RF,NA,79,75,74,66,75,75,78,15,0.82,NA,2003,NA,NA,NA,199,Jose Cruz,1296,Giants
"Hunter, Torii",CF,NA,83,87,78,83,65,66,63,15,0.76,NA,2003,NA,NA,NA,291,Torii Hunter,731,Twins
"Freel, Ryan",NA,57,61,69,75,50,45,42,42,13,0.76,NA,2004,CIN,NA,28,122,Ryan Freel,1207,Reds
"Clark, Brady",CF,46,45,52,52,55,44,23,39,21,0.7,6583,2006,MIL,NA,NA,NA,Brady Clark,1398,Brewers
"German, Esteban",3B,46,32,56,75,31,41,45,44,5,0.83,6935,2006,KCA,NA,NA,NA,Esteban German,1449,Royals
N Swisher,NA,49,40,52,52,46,48,58,48,26,0.78,NA,2005,OAK,NA,NA,NA,Nick Swisher,4599,Athletics
"Floyd, Cliff",NA,30,33,27,33,32,28,29,28,18,0.59,NA,2004,NYN,NA,32,96,Cliff Floyd,518,Mets
N Logan,NA,52,43,80,93,40,36,17,28,28,0.74,NA,2005,DET,NA,NA,NA,Nook Logan,2076,Tigers
"Casey, Sean",NA,44,63,26,21,63,47,42,49,16,0.73,NA,2004,CIN,NA,30,138,Sean Casey,314,Reds
"Stewart, Shannon",NA,43,49,46,52,48,44,5,41,18,0.62,NA,2004,MIN,NA,30,71,Shannon Stewart,1322,Twins
"Gross, Gabe",CF,51,43,52,58,39,50,66,64,17,0.76,7077,2006,MIL,NA,NA,NA,Gabe Gross,2184,Brewers
O Palmeiro,NA,53,58,58,54,54,53,38,39,10,0.81,NA,2005,HOU,NA,NA,NA,Orlando Palmeiro,28,Astros
"Willits, Reggie",LF,65,64,78,83,60,57,46,54,21,0.81,7742,2007,ANA,NA,NA,NA,Reggie Willits,5590,Angels
O Infante,NA,54,53,59,60,47,54,52,48,26,0.78,NA,2005,DET,NA,NA,NA,Omar Infante,1609,Tigers
"Suzuki, Ichiro",RF,NA,83,88,89,77,88,86,82,20,0.77,NA,2003,NA,NA,NA,317,Ichiro Suzuki,1101,Mariners
"McEwing, Joe",2B,NA,38,42,47,34,48,26,42,11,0.67,NA,2003,NA,NA,NA,41,Joe McEwing,887,Mets
"Aurilia, Rich",1B,46,51,40,32,52,55,44,50,41,0.73,5523,2008,SFN,48,NA,NA,Rich Aurilia,1106,Giants
"Helms, Wes",3B,48,48,44,38,49,55,56,58,18,0.68,6080,2008,FLO,51,NA,NA,Wes Helms,94,Marlins
"Granderson, Curtis",CF,74,82,84,81,82,64,49,47,56,0.75,7455,2007,DET,NA,NA,NA,Curtis Granderson,4747,Tigers
J Reed,NA,68,69,73,72,81,61,45,57,35,0.77,NA,2005,SEA,NA,NA,NA,Jeremy Reed,4730,Mariners
"Payton, Jay",RF,65,62,75,75,60,62,55,60,40,0.81,5773,2006,OAK,NA,NA,NA,Jay Payton,890,Athletics
"Ensberg, Morgan",3B,63,70,64,51,63,63,66,62,15,0.8,6604,2006,HOU,NA,NA,NA,Morgan Ensberg,556,Astros
"Mordecai, Mike",NA,45,56,36,39,37,41,55,54,2,0.39,NA,2004,FLO,NA,37,11,Mike Mordecai,1385,Marlins
"Byrnes, Eric",LF,49,43,62,75,59,20,37,25,34,0.6,6558,2008,ARI,57,NA,NA,Eric Byrnes,905,Diamondbacks
J Closser,NA,13,15,17,15,1,0,41,0,5,0.74,NA,2005,COL,NA,NA,NA,JD Closser,2108,Rockies
"Tejada, Miguel",SS,NA,73,76,70,57,71,86,54,25,0.8,NA,2003,NA,NA,NA,350,Miguel Tejada,941,Athletics
D Jackson,NA,61,60,84,85,47,44,41,39,7,0.64,NA,2005,SDN,NA,NA,NA,Damian Jackson,471,Padres
J Dubois,NA,14,0,15,28,5,1,43,12,13,0.63,NA,2005,CHN,NA,NA,NA,Jason Dubois,1941,- - -
"Hairston, Jerry",CF,46,45,60,62,33,40,31,43,8,0.42,6127,2007,TEX,NA,NA,NA,Jerry Hairston,144,Rangers
