"Season","Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"2005","Morgan Ensberg","Astros","150","624","36","86","101","6","13.6 %","19.1 %",".274",".301",".283",".388",".557",".399","144","-2.9","31.6","8.6","6.1","556"
"2003","Jorge Posada","Yankees","142","588","30","83","101","2","15.8 %","18.7 %",".237",".304",".281",".405",".518",".397","145","-5.0","28.4","12.8","6.0","841"
"2009","Franklin Gutierrez","Mariners","153","629","18","85","70","16","7.3 %","19.4 %",".142",".333",".283",".339",".425",".335","104","2.2","5.5","33.4","6.0","3255"
"2003","Lance Berkman","Astros","153","658","25","110","93","5","16.3 %","16.4 %",".227",".319",".288",".412",".515",".397","139","1.1","33.7","6.0","6.0","548"
"2008","Nick Markakis","Orioles","157","697","20","106","87","10","14.2 %","16.2 %",".185",".350",".306",".406",".491",".392","138","-0.9","31.8","4.9","6.0","5930"
"2003","Richard Hidalgo","Astros","141","585","28","91","88","9","9.9 %","17.8 %",".263",".339",".309",".385",".572",".402","142","-0.7","31.0","11.0","6.0","561"
"2001","Ichiro Suzuki","Mariners","157","738","8","127","69","56","4.1 %","7.2 %",".107",".369",".350",".381",".457",".360","124","5.1","27.8","7.8","6.0","1101"
"2004","Miguel Tejada","Orioles","162","725","34","107","150","4","6.6 %","10.1 %",".224",".302",".311",".360",".534",".376","129","-2.3","24.8","12.2","6.0","941"
"2006","Andruw Jones","Braves","156","669","41","107","129","4","12.3 %","19.0 %",".269",".264",".262",".363",".531",".375","124","3.4","24.9","14.9","6.0","96"
"2000","Chipper Jones","Braves","156","686","36","118","111","14","13.8 %","9.3 %",".256",".294",".311",".404",".566",".409","141","-0.3","37.9","3.4","6.0","97"
"2006","Travis Hafner","Indians","129","564","42","100","117","0","17.7 %","19.7 %",".350",".323",".308",".439",".659",".450","176","-1.5","54.1","-11.8","6.0","1573"
"2009","Prince Fielder","Brewers","162","719","46","103","141","2","15.3 %","19.2 %",".303",".315",".299",".412",".602",".422","161","-5.7","48.5","-12.1","5.9","4613"
